CustomerID,FullName,Region,TotalOrders,TotalRevenue,TotalRevenuePerRegion,TotalOrdersPerRegion,AverageOrderValue,TotalQuantityPurchased,TotalProductsPurchased,FirstPurchaseDate,LastPurchaseDate,CustomerLifespanMonths,AverageMonthlySpend,CustomerSegment
30000,James McCoy,Canada,8,472819.0537350003,16355770.454862092,4067,59102.38,1192,68,2012-05-30,2014-03-01,22,21491.78,VIP
30074,Yuping Tian,Canada,8,458373.18869999907,16355770.454862092,4067,57296.65,928,70,2011-07-01,2013-03-30,20,22918.66,VIP
29919,Eugene Kogan,Southwest,8,456739.47460799944,24184609.600810263,6224,57092.43,862,67,2012-06-30,2014-03-31,21,21749.5,VIP
29507,Phyllis Allen,Southeast,8,446013.53501200036,7879655.072151,486,55751.69,942,68,2011-07-01,2013-03-30,20,22300.68,VIP
29770,Kathleen Garza,Canada,8,443861.82435000053,16355770.454862092,4067,55482.73,1189,79,2012-07-31,2014-05-01,22,20175.54,VIP
29559,Robert Bernacchi,Northwest,8,443316.1126160001,16084942.547585148,4594,55414.51,1606,104,2012-07-31,2014-05-01,22,20150.73,VIP
29923,Edward Kozlowski,France,4,436921.654793,7251555.646926051,2672,109230.41,766,45,2013-06-30,2014-03-31,9,48546.85,VIP
29624,Joseph Cantoni,Southeast,4,431991.5499680003,7879655.072151,486,107997.89,356,22,2011-07-01,2012-03-30,8,53998.94,VIP
29992,Sandra Maynard,Southwest,12,429050.8728249998,24184609.600810263,6224,35754.24,1951,93,2011-05-31,2014-03-01,34,12619.14,VIP
29901,John Kelly,Southwest,12,427890.8367740002,24184609.600810263,6224,35657.57,732,67,2011-07-01,2014-03-31,32,13371.59,VIP
29834,Cheryl Herring,Southwest,12,424512.69491600036,24184609.600810263,6224,35376.06,750,79,2011-08-01,2014-05-01,33,12864.02,VIP
29825,James Hendergart,Southeast,12,422706.6022510011,7879655.072151,486,35225.55,1207,97,2011-05-31,2014-03-01,34,12432.55,VIP
30046,Elizabeth Sullivan,Southwest,8,418436.52987300034,24184609.600810263,6224,52304.57,1115,79,2012-07-31,2014-05-01,22,19019.84,VIP
29707,Helen Dennis,Southeast,8,416702.7289149999,7879655.072151,486,52087.84,1784,76,2012-07-31,2014-05-01,22,18941.03,VIP
29734,Jauna Elson,Canada,12,416653.4820750003,16355770.454862092,4067,34721.12,1236,106,2011-05-31,2014-03-01,34,12254.51,VIP
29690,Conor Cunningham,Northwest,12,415310.5504090002,16084942.547585148,4594,34609.21,840,77,2011-08-01,2014-05-01,33,12585.17,VIP
29703,Stefan Delmarco,Southwest,8,413054.8166279996,24184609.600810263,6224,51631.85,1203,75,2011-07-01,2013-03-30,20,20652.74,VIP
30049,Nate Sun,France,8,409287.80160400027,7251555.646926051,2672,51160.98,707,58,2012-07-31,2014-05-01,22,18603.99,VIP
29861,Phyllis Huntsman,Central,4,408483.44656000024,7909009.005872,385,102120.86,431,22,2011-07-01,2012-03-30,8,51060.43,VIP
29844,Nancy Hirota,Northeast,12,402108.4717939994,6939374.481004997,352,33509.04,1073,85,2011-05-31,2014-03-01,34,11826.72,VIP
29744,John Evans,Southwest,8,399011.94620899984,24184609.600810263,6224,49876.49,1887,105,2012-05-30,2014-03-01,22,18136.91,VIP
29950,Yale Li,Canada,12,397553.2706560003,16355770.454862092,4067,33129.44,1843,113,2011-08-01,2014-05-01,33,12047.07,VIP
29702,Aidan Delaney,Southwest,12,395867.2727000006,24184609.600810263,6224,32988.94,1203,105,2011-08-01,2014-05-01,33,11995.98,VIP
29888,Brannon Jones,Southeast,12,395413.1308999991,7879655.072151,486,32951.09,685,78,2011-07-01,2014-03-31,32,12356.66,VIP
29724,Bernard Duerr,Northeast,12,394260.6879759995,6939374.481004997,352,32855.06,701,69,2011-07-01,2014-03-31,32,12320.65,VIP
29651,Lee Chapla,Central,12,392784.6025999997,7909009.005872,385,32732.05,787,77,2011-08-01,2014-05-01,33,11902.56,VIP
30067,Phyllis Thomas,Canada,12,392495.87884200056,16355770.454862092,4067,32707.99,709,68,2011-05-31,2014-03-01,34,11544.0,VIP
29940,Robertson Lee,France,4,391040.589376,7251555.646926051,2672,97760.15,578,43,2013-06-30,2014-03-31,9,43448.95,VIP
29885,David Johnson,Northwest,8,387118.35079999984,16084942.547585148,4594,48389.79,593,61,2011-07-01,2013-03-30,20,19355.92,VIP
29714,Rudolph Dillon,Canada,12,384394.0155759996,16355770.454862092,4067,32032.83,771,77,2011-08-01,2014-05-01,33,11648.3,VIP
29489,Frances Adams,Southwest,12,380454.03245999984,24184609.600810263,6224,31704.5,942,85,2011-05-31,2014-03-01,34,11189.82,VIP
29955,David Liu,Central,12,373658.46570000006,7909009.005872,385,31138.21,681,84,2011-07-01,2014-03-31,32,11676.83,VIP
29938,Frank Campbell,Southwest,12,372146.72662500007,24184609.600810263,6224,31012.23,795,87,2011-08-01,2014-05-01,33,11277.17,VIP
29637,Donna Carreras,Southwest,12,361999.0581699996,24184609.600810263,6224,30166.59,1695,86,2011-08-01,2014-05-01,33,10969.67,VIP
29594,Dave Browning,Northeast,4,357708.77469799976,6939374.481004997,352,89427.19,772,59,2012-05-30,2013-02-28,9,39745.42,VIP
29647,Baris Cetinok,Northeast,8,357052.9361950001,6939374.481004997,352,44631.62,1104,82,2012-05-30,2014-03-01,22,16229.68,VIP
29987,Frank Mart¡nez,Southwest,4,355141.98064400005,24184609.600810263,6224,88785.5,507,39,2013-05-30,2014-03-01,10,35514.2,VIP
29998,Jane McCarty,Southwest,4,354805.2476459999,24184609.600810263,6224,88701.31,1056,66,2012-07-31,2013-04-30,9,39422.81,VIP
29587,John Brooks,United Kingdom,8,354607.324948,7670721.035475045,3219,44325.92,1666,90,2012-05-30,2014-03-01,22,16118.51,VIP
29929,Jeffrey Kurtz,Southwest,8,349342.1078010002,24184609.600810263,6224,43667.76,1119,84,2012-07-31,2014-05-01,22,15879.19,VIP
29629,Carlton Carlisle,Canada,4,343349.7833250002,16355770.454862092,4067,85837.45,533,42,2013-07-31,2014-05-01,10,34334.98,VIP
30094,Sairaj Uddin,Southwest,8,338939.20009999955,24184609.600810263,6224,42367.4,539,59,2012-06-30,2014-03-31,21,16139.96,VIP
29995,Stacie Mcanich,Germany,4,337756.73159300024,4915407.595885038,2623,84439.18,1052,60,2013-06-30,2014-03-31,9,37528.53,VIP
30109,Nieves Vargas,Central,8,336401.660685,7909009.005872,385,42050.21,1627,86,2012-05-30,2014-03-01,22,15290.98,VIP
29704,Shawn Demicell,Southeast,8,334662.98574099987,7879655.072151,486,41832.87,1588,86,2012-05-30,2014-03-01,22,15211.95,VIP
29692,Thierry D'Hers,Canada,8,325022.9127299999,16355770.454862092,4067,40627.86,1605,87,2012-05-30,2014-03-01,22,14773.77,VIP
29736,Terry Eminhizer,United Kingdom,4,321752.83474900015,7670721.035475045,3219,80438.21,1090,53,2013-07-31,2014-05-01,10,32175.28,VIP
30043,Min Su,France,8,320221.54929900006,7251555.646926051,2672,40027.69,1208,82,2012-07-31,2014-05-01,22,14555.52,VIP
29895,Lori Kane,Canada,8,318177.59252,16355770.454862092,4067,39772.2,1012,83,2012-06-30,2014-03-31,21,15151.31,VIP
29560,Matthias Berndt,Southwest,8,316323.8118239997,24184609.600810263,6224,39540.48,623,66,2012-06-30,2014-03-31,21,15063.04,VIP
29853,Juanita Holman,Southwest,8,311446.4309999999,24184609.600810263,6224,38930.8,685,71,2011-07-01,2013-03-30,20,15572.32,VIP
29618,Gustavo Camargo,United Kingdom,8,309675.8361,7670721.035475045,3219,38709.48,879,76,2012-06-30,2014-03-31,21,14746.47,VIP
29783,Mary Gimmi,Central,8,309077.41029599984,7909009.005872,385,38634.68,1545,84,2012-05-30,2014-03-01,22,14048.97,VIP
29904,Mary Kesslep,United Kingdom,8,302043.772767,7670721.035475045,3219,37755.47,1079,87,2012-06-30,2014-03-31,21,14383.04,VIP
29615,Mari Caldwell,United Kingdom,4,299985.1978130002,7670721.035475045,3219,74996.3,465,46,2013-06-30,2014-03-31,9,33331.69,VIP
29509,Michael Allen,Northeast,12,299530.4862999997,6939374.481004997,352,24960.87,675,74,2011-07-01,2014-03-31,32,9360.33,VIP
29792,Abigail Gonzalez,Southwest,8,294389.80759999994,24184609.600810263,6224,36798.73,680,78,2012-06-30,2014-03-31,21,14018.56,VIP
29956,Jinghao Liu,Southwest,8,293829.1868000004,24184609.600810263,6224,36728.65,702,78,2012-07-31,2014-05-01,22,13355.87,VIP
29896,Judith Krane,Southeast,8,293610.71555000014,7879655.072151,486,36701.34,609,63,2012-06-30,2014-03-31,21,13981.46,VIP
29910,Shane Kim,Canada,8,292234.85480400006,16355770.454862092,4067,36529.36,981,80,2012-06-30,2014-03-31,21,13915.95,VIP
29658,Mike Choi,Northeast,8,292229.5404629998,6939374.481004997,352,36528.69,1234,92,2012-05-30,2014-03-01,22,13283.16,VIP
29698,Jacob Dean,Canada,12,290158.9275999999,16355770.454862092,4067,24179.91,673,83,2011-07-01,2014-03-31,32,9067.47,VIP
29515,Maxwell Amland,Canada,8,289489.2036920002,16355770.454862092,4067,36186.15,195,26,2011-07-01,2013-09-30,26,11134.2,VIP
30065,Karen Theisen,Northeast,8,288827.1097259999,6939374.481004997,352,36103.39,641,60,2012-05-30,2014-03-01,22,13128.5,VIP
29889,Jean Jordan,Southwest,8,286972.08650999976,24184609.600810263,6224,35871.51,642,68,2011-05-31,2013-02-28,21,13665.34,VIP
29996,Katie McAskill-White,Northeast,8,286645.13841100055,6939374.481004997,352,35830.64,1648,104,2012-06-30,2014-03-31,21,13649.77,VIP
29543,Karel Bates,Northeast,8,284876.0710999999,6939374.481004997,352,35609.51,477,59,2012-06-30,2014-03-31,21,13565.53,VIP
29579,Cornelius Brandon,Central,8,284305.630067,7909009.005872,385,35538.2,918,80,2012-07-31,2014-05-01,22,12922.98,VIP
29564,Mary Billstrom,France,4,283745.88280799997,7251555.646926051,2672,70936.47,478,42,2013-06-30,2014-03-31,9,31527.32,VIP
29796,Jon Grande,United Kingdom,4,282701.3220900001,7670721.035475045,3219,70675.33,1078,55,2013-07-31,2014-05-01,10,28270.13,VIP
30118,Caroline Vicknair,Central,8,278568.56994200015,7909009.005872,385,34821.07,1054,84,2012-07-31,2014-05-01,22,12662.21,VIP
29732,Carol Elliott,Southwest,8,278412.80097600014,24184609.600810263,6224,34801.6,691,76,2012-06-30,2014-03-31,21,13257.75,VIP
29789,Brian Goldstein,Canada,12,278198.22315999976,16355770.454862092,4067,23183.19,547,54,2011-07-01,2014-03-31,32,8693.69,VIP
30111,Ranjit Varkey Chudukatil,Central,4,276526.4030500001,7909009.005872,385,69131.6,188,14,2011-07-01,2012-03-30,8,34565.8,VIP
30055,Julie Taft-Rider,Central,8,274395.5536760001,7909009.005872,385,34299.44,693,80,2012-06-30,2014-03-31,21,13066.45,VIP
30113,Raja Venugopal,United Kingdom,8,273185.89078300004,7670721.035475045,3219,34148.24,617,68,2012-07-31,2014-05-01,22,12417.54,VIP
29693,Ryan Danner,Germany,4,272052.22569800005,4915407.595885038,2623,68013.06,1052,54,2013-05-30,2014-03-01,10,27205.22,VIP
29601,Dirk Bruno,Canada,8,269007.3018159999,16355770.454862092,4067,33625.91,897,78,2012-06-30,2014-03-31,21,12809.87,VIP
29935,Elsa Leavitt,Northwest,8,268660.796485,16084942.547585148,4594,33582.6,588,70,2012-06-30,2014-03-31,21,12793.37,VIP
29793,Michael Graff,Southwest,4,268209.2860029998,24184609.600810263,6224,67052.32,1322,57,2012-07-31,2013-04-30,9,29801.03,VIP
30076,Diane Tibbott,Central,12,268166.05460000003,7909009.005872,385,22347.17,475,63,2011-07-01,2014-03-31,32,8380.19,VIP
29525,Teresa Atkinson,Southwest,4,261522.3269000001,24184609.600810263,6224,65380.58,263,22,2011-08-01,2012-04-30,8,32690.29,VIP
29649,Pat Chambers,Canada,8,261429.77314199996,16355770.454862092,4067,32678.72,503,48,2011-08-01,2013-04-30,20,13071.49,VIP
29836,Sidney Higa,Northeast,4,258976.68096700002,6939374.481004997,352,64744.17,646,43,2012-06-30,2013-03-30,9,28775.19,VIP
29909,Jim Kim,France,8,253972.85779799995,7251555.646926051,2672,31746.61,1042,86,2012-05-30,2014-03-01,22,11544.22,VIP
29822,James Haugh,Canada,8,250219.27849800006,16355770.454862092,4067,31277.41,574,56,2012-07-31,2014-05-01,22,11373.6,VIP
30075,Mike Tiano,Southeast,8,249378.68365100006,7879655.072151,486,31172.34,1101,90,2012-05-30,2014-03-01,22,11335.39,VIP
29627,Johnny Caprio,Canada,8,249295.54818299998,16355770.454862092,4067,31161.94,1578,66,2012-06-30,2014-03-31,21,11871.22,VIP
29891,Diane Krane,Central,8,248368.81673299984,7909009.005872,385,31046.1,978,85,2012-07-31,2014-05-01,22,11289.49,VIP
29605,Megan Burke,Southwest,8,247900.76595800003,24184609.600810263,6224,30987.6,623,58,2012-05-30,2014-03-01,22,11268.22,VIP
29710,Brenda Diaz,Northwest,4,243014.54980000004,16084942.547585148,4594,60753.64,194,15,2011-08-01,2012-04-30,8,30376.82,VIP
29916,Reed Koch,Northeast,4,239853.11897200037,6939374.481004997,352,59963.28,736,64,2013-07-31,2014-05-01,10,23985.31,VIP
29499,Amy Alberts,Canada,8,234957.32165799997,16355770.454862092,4067,29369.67,732,78,2012-07-31,2014-05-01,22,10679.88,VIP
29622,Henry Campen,Northwest,10,231593.63934200013,16084942.547585148,4594,23159.36,402,60,2011-08-01,2014-05-01,33,7017.99,VIP
30095,Sunil Uppal,Southwest,12,228419.94589999985,24184609.600810263,6224,19035.0,348,62,2011-07-01,2014-03-31,32,7138.12,VIP
29963,Spencer Low,Southeast,12,223285.3949,7879655.072151,486,18607.12,399,69,2011-07-01,2014-03-31,32,6977.67,VIP
29488,Pilar Ackerman,Australia,4,221169.7843440003,10655335.959317066,6843,55292.45,975,61,2013-07-31,2014-05-01,10,22116.98,VIP
29947,Judy Lew,Northeast,8,220888.8487359998,6939374.481004997,352,27611.11,1410,69,2012-06-30,2014-03-31,21,10518.52,VIP
29917,Jim Kennedy,Germany,4,220496.6887500003,4915407.595885038,2623,55124.17,391,46,2013-07-31,2014-05-01,10,22049.67,VIP
29550,Stanley Alan,Northwest,4,216653.6230500003,16084942.547585148,4594,54163.41,601,59,2013-07-31,2014-05-01,10,21665.36,VIP
29843,Matthew Hink,Northwest,4,215977.9623000003,16084942.547585148,4594,53994.49,381,46,2013-07-31,2014-05-01,10,21597.8,VIP
30070,Kendra Thompson,Northwest,4,213751.99665000025,16084942.547585148,4594,53438.0,434,56,2013-05-30,2014-03-01,10,21375.2,VIP
29549,Shane Belli,Southeast,8,212208.83652900008,7879655.072151,486,26526.1,566,53,2011-05-31,2013-02-28,21,10105.18,VIP
29786,James Glynn,France,8,209695.1458649998,7251555.646926051,2672,26211.89,1124,89,2012-06-30,2014-03-31,21,9985.48,VIP
29695,Megan Davis,Northwest,4,208802.87316600006,16084942.547585148,4594,52200.72,269,35,2013-07-31,2014-05-01,10,20880.29,VIP
29643,Matthew Cavallari,Northwest,4,204203.36948900015,16084942.547585148,4594,51050.84,880,53,2013-06-30,2014-03-31,9,22689.26,VIP
29932,Rebecca Laszlo,United Kingdom,4,201888.66330000022,7670721.035475045,3219,50472.17,363,43,2013-07-31,2014-05-01,10,20188.87,VIP
30083,Glenn Track,Canada,4,200013.36600000004,16355770.454862092,4067,50003.34,468,57,2012-07-31,2013-04-30,9,22223.71,VIP
29557,Alexander Berger,Canada,4,197801.05601300008,16355770.454862092,4067,49450.26,900,50,2013-07-31,2014-05-01,10,19780.11,VIP
29589,Carolee Brown,Germany,4,197327.58508299993,4915407.595885038,2623,49331.9,862,55,2013-05-30,2014-03-01,10,19732.76,VIP
29608,Timothy Burnett,Canada,4,196449.43747500016,16355770.454862092,4067,49112.36,794,49,2013-06-30,2014-03-31,9,21827.72,VIP
29513,Selena Alvarado,Southeast,4,194423.13700000005,7879655.072151,486,48605.78,311,47,2012-06-30,2013-03-30,9,21602.57,VIP
29880,Samuel Johnson,Southeast,12,193708.594959,7879655.072151,486,16142.38,441,48,2011-07-01,2014-03-31,32,6053.39,VIP
29921,Joy Koski,Northwest,4,193258.67079999993,16084942.547585148,4594,48314.67,266,36,2011-08-01,2012-04-30,8,24157.33,VIP
30116,Wanda Vernon,Southwest,4,187114.20105000024,24184609.600810263,6224,46778.55,335,37,2013-05-30,2014-03-01,10,18711.42,VIP
29609,Stephen Burton,Germany,4,186217.06808500012,4915407.595885038,2623,46554.27,846,53,2013-06-30,2014-03-31,9,20690.79,VIP
29738,Gail Erickson,Central,4,185859.5956440001,7909009.005872,385,46464.9,255,35,2013-07-31,2014-05-01,10,18585.96,VIP
29521,Tom Johnston,Northwest,12,184846.23609999995,16084942.547585148,4594,15403.85,388,44,2011-07-01,2014-03-31,32,5776.44,VIP
29563,Chris Bidelman,Southeast,4,184837.32980000012,7879655.072151,486,46209.33,850,57,2013-07-31,2014-05-01,10,18483.73,VIP
29746,Fadi Fakhouri,Northeast,8,182730.24719199986,6939374.481004997,352,22841.28,302,46,2011-08-01,2013-04-30,20,9136.51,VIP
29660,Anthony Chor,Southwest,4,182025.0621770001,24184609.600810263,6224,45506.27,258,33,2013-07-31,2014-05-01,10,18202.51,VIP
29524,Chris Ashton,Central,4,181062.71280000007,7909009.005872,385,45265.68,226,27,2013-06-30,2014-03-31,9,20118.08,VIP
29954,Paulo Lisboa,Southwest,4,179831.35079700005,24184609.600810263,6224,44957.84,716,64,2012-07-31,2013-04-30,9,19981.26,VIP
29727,Bart Duncan,Northwest,4,178066.65014399996,16084942.547585148,4594,44516.66,258,37,2013-06-30,2014-03-31,9,19785.18,VIP
29774,Darren Gehring,Southwest,4,175502.15740000003,24184609.600810263,6224,43875.54,154,19,2011-07-01,2012-03-30,8,21937.77,VIP
30105,Gregory Vanderbout,Northwest,8,173228.294376,16084942.547585148,4594,21653.54,273,53,2012-07-31,2014-05-01,22,7874.01,VIP
29915,Andrew Kobylinski,Northwest,9,172227.73130799993,16084942.547585148,4594,19136.41,342,51,2011-10-31,2014-05-01,31,5555.73,VIP
29625,Suzana De Abreu Canuto,Canada,4,169212.2205910001,16355770.454862092,4067,42303.06,910,58,2013-07-31,2014-05-01,10,16921.22,VIP
29945,Gloria Lesko,Southeast,11,165815.33439999993,7879655.072151,486,15074.12,123,29,2011-07-01,2014-03-31,32,5181.73,VIP
30051,Brad Sutton,Northwest,4,163851.88656900002,16084942.547585148,4594,40962.97,234,33,2013-05-30,2014-03-01,10,16385.19,VIP
29925,Margaret Krupka,Northwest,7,162313.2916,16084942.547585148,4594,23187.61,171,24,2011-07-01,2012-12-31,17,9547.84,VIP
30071,Daniel Thompson,Northwest,4,161109.368257,16084942.547585148,4594,40277.34,584,59,2013-07-31,2014-05-01,10,16110.94,VIP
29504,J. Phillip Alexander,Southeast,4,158899.148775,7879655.072151,486,39724.79,173,12,2011-08-01,2012-04-30,8,19862.39,VIP
29828,Jay Henningsen,Northeast,8,158171.480383,6939374.481004997,352,19771.44,465,47,2012-06-30,2014-03-31,21,7531.98,VIP
29941,Jolie Lenehan,United Kingdom,4,156957.16597099992,7670721.035475045,3219,39239.29,1005,75,2013-05-30,2014-03-01,10,15695.72,VIP
29561,John Berry,Southeast,4,154826.70825000014,7879655.072151,486,38706.68,228,33,2013-06-30,2014-03-31,9,17202.97,VIP
29958,Run Liu,Southeast,9,154348.98859999995,7879655.072151,486,17149.89,107,20,2011-05-31,2014-03-01,34,4539.68,VIP
29725,Tish Duff,Germany,4,153764.3534250001,4915407.595885038,2623,38441.09,1055,72,2013-06-30,2014-03-31,9,17084.93,VIP
29946,Linda Leste,Canada,8,153402.36629999994,16355770.454862092,4067,19175.3,251,46,2011-07-01,2013-03-30,20,7670.12,VIP
29582,Ted Bremer,Northwest,4,153310.5787,16084942.547585148,4594,38327.64,153,23,2011-07-01,2012-03-30,8,19163.82,VIP
29811,Mark Hanson,Southeast,12,151331.05558700004,7879655.072151,486,12610.92,325,41,2011-05-31,2014-03-01,34,4450.91,VIP
29968,Helen Lutes,Southeast,11,149121.22198400003,7879655.072151,486,13556.47,377,62,2011-07-01,2014-03-31,32,4660.04,VIP
29706,Bruno Deniut,Australia,4,148996.50637200006,10655335.959317066,6843,37249.13,212,32,2013-06-30,2014-03-31,9,16555.17,VIP
29898,Sandeep Katyal,Northwest,4,148837.6949,16084942.547585148,4594,37209.42,118,15,2011-05-31,2012-02-29,9,16537.52,VIP
29787,Scott Gode,Northwest,6,148659.27219999992,16084942.547585148,4594,24776.55,101,18,2011-07-01,2012-09-30,14,10618.52,VIP
29942,Roger Lengel,Northwest,4,148588.05273000005,16084942.547585148,4594,37147.01,234,34,2013-06-30,2014-03-31,9,16509.78,VIP
29737,John Emory,Northwest,4,148098.2922750001,16084942.547585148,4594,37024.57,231,30,2013-05-30,2014-03-01,10,14809.83,VIP
30101,Johnathan Van Eaton,France,4,147963.79342499992,7251555.646926051,2672,36990.95,372,51,2013-06-30,2014-03-31,9,16440.42,VIP
29720,Gerald Drury,Northwest,4,147887.68188000005,16084942.547585148,4594,36971.92,291,45,2013-07-31,2014-05-01,10,14788.77,VIP
30045,Ruth Suffin,Northwest,4,147784.21450800003,16084942.547585148,4594,36946.05,667,57,2012-06-30,2013-03-30,9,16420.47,VIP
29795,Lowell Graham,France,8,147554.83205000017,7251555.646926051,2672,18444.35,1292,69,2012-05-30,2014-03-01,22,6707.04,VIP
29645,Andrew Cencini,Northwest,4,147421.75132500005,16084942.547585148,4594,36855.44,209,29,2013-07-31,2014-05-01,10,14742.18,VIP
30060,Jeff Teper,Northeast,8,146256.57407600005,6939374.481004997,352,18282.07,332,48,2012-06-30,2014-03-31,21,6964.6,VIP
29967,Judy Lundahl,Central,4,146233.559836,7909009.005872,385,36558.39,366,30,2011-08-01,2012-04-30,8,18279.19,VIP
30059,Denis Taylor,Australia,4,145407.73935000005,10655335.959317066,6843,36351.93,238,45,2013-06-30,2014-03-31,9,16156.42,VIP
29628,Richard Carey,Australia,4,145380.12839999996,10655335.959317066,6843,36345.03,378,48,2013-07-31,2014-05-01,10,14538.01,VIP
29511,Oscar Alpuerto,Central,11,144735.22269999998,7909009.005872,385,13157.75,172,36,2011-07-01,2014-03-31,32,4522.98,VIP
30108,Kara Vanderlinden,Canada,4,144602.58160000003,16355770.454862092,4067,36150.65,293,35,2012-06-30,2013-03-30,9,16066.95,VIP
29528,Stephen Ayers,Central,8,144109.86670000007,7909009.005872,385,18013.73,236,39,2012-07-31,2014-05-01,22,6550.45,VIP
